category,code,description,end_date,framework_title,organisation,start_date,url
Health,SBS/18/OA/FJA/9342,"The Products to Aid the Prevention of Patient Falls Framework Agreement offers NHS Trusts and other public healthcare associations a comprehensive range of products that will prevent patients across all care settings from falling, and give early warnings of an imminent fall or reduce the impact of a fall. The framework provides access to solutions and products from suppliers known for their innovation to prevent patient falls.",30 September 2022,Products to Aid the Prevention of Patient Falls,sbs,01 November 2018,https://sbs.nhs.uk/fas-prevention-of-patient-falls
Health,SBS/16/RC/GKB/9027,"The Orthotics Products and Services Framework Agreement offers a broad range of orthoses and prosthetic services and products across nine lots. These nine lots include; upper and lower body orthoses for adult and paediatric patients, prosthetics and postiche (wigs). The framework allows for the provision of stock, modular and bespoke products. Plus, it also offers a wraparound managed service lot which can be utilised in full or in part. The framework agreement has been awarded to a wide breadth of suppliers and is flexible to allow new products to be added which are within scope of the specification.",08 October 2023,Orthotics Products and Services,sbs,10 October 2016,https://sbs.nhs.uk/fas-orthotics-products-services
Health,SBS/18/SF/JAF/9340,The Teleradiology Reporting Services Framework Agreement supports the increasingly popular use of teleradiology services to meet the current and future needs of NHS radiology reporting. The framework agreement supports on-site and off-site radiology reporting. This teleradiology reporting framework supports early diagnosis of patients through the quick turnaround of medical imaging scans.,31 January 2023,Teleradiology Reporting Services,sbs,01 February 2019,https://sbs.nhs.uk/fas-teleradiology-reporting-services
Health,SBS/16/EA/DYV/8984,"The Medical Gases in Cylinders and Bulk Gases Framework Agreement provides a competitive framework to purchase cylinders containing a variety of medical gases. Under the terms of this framework, you can access a bulk supply of medical gases, plus it covers the provision and installation of the vacuum insulated evaporator (VIE) and covers the back-up facility, rental, depreciation and maintenance of the VIE and backup. In addition, this framework agreement covers the supply of liquid oxygen.",30 September 2024,Medical Gases in Cylinders and Bulk Gases,sbs,01 October 2021,https://sbs.nhs.uk/fas-medical-gases-cylinders-bulk-gases
Health,SBS10015,"The Acute and Community Health and Social Care Equipment Products and Services Framework Agreement was procured mainly for use in a community setting, however it also contains aspects which can be of use for the acute and mental health setting. The framework agreement offers a broad range of medical products and services amongst seven lots. This includes the provision of acute beds and mattresses, and community beds and mattresses, wheelchairs, daily living aids, and moving and handling equipment (lifts and hoists). It also offers a wraparound managed service lot for the community setting and a continence home delivery service. The framework has been awarded to a wide breadth of suppliers, including well established market leaders and new entrants.",31 December 2025,Acute and Community Health and Social Care Equipment Products and Services,sbs,01 January 2022,https://sbs.nhs.uk/fas-community-equipment-products-services
Health,SBS/18/OA/FBY/9308,"The Clinical Managed Services Framework Agreement has three lots which provide comprehensive coverage within the area of managed service provision. Spend areas include, but are not limited to; diagnostics, diagnostic imaging, renal, catheter laboratories, decontamination and maintenance services. The framework for clinical managed services provides options for OEM or vendor neutral solutions and supporting consultancy services. Access to a category expert is available to assist on the framework when considering a managed service.",31 December 2022,Clinical Managed Services,sbs,14 January 2019,https://sbs.nhs.uk/fas-clinical-managed-services
Health,SBS/10161,"The Respiratory Therapy Equipment and Consumables Framework Agreement covers respiratory equipment and consumables. This framework agreement for respiratory therapy, will provide for services including; sleep apnoea, asthma and COPD support, smoking cessation, products to support respiratory therapy either within an acute or community setting, plus a managed service provision and home delivery provision.",30 September 2025,Respiratory Therapy - Equipment and Consumables,sbs,01 October 2021,https://sbs.nhs.uk/fas-respiratory-therapy-products-consumables
Health,SBS/17/AM/CXP/9267,"The Robotic Surgery, Consumables and Related Services Framework Agreement covers remote surgery including; robotic surgery, related services and consumables. Also included in this framework agreement is a route to market for a managed service. Robotic surgical systems consist of robotic arms with laparoscopic instruments; a doctor sits a few feet away from the operating table at a computer console viewing a HD (high definition) 3D visual of the operating region. Robot-assisted surgery allows doctors sub mm precision, flexibility and control during many types of complex procedures, reducing fatigue and wear and tear of the operator. Market predictions for sales growth of robotic assistance is a 20% increase, as more systems are employed across a wider range of clinical specialities.",01 April 2023,"Robotic Surgery, Consumables and Related Services",sbs,01 November 2018,https://sbs.nhs.uk/fas-robotic-surgery
Health,SBS/20/BH/DT/10025,"The Radiopharmaceutical Products Framework Agreement provides radiopharmaceutical materials, maintenance, support and training from a carefully selected range of qualified suppliers. This framework covers radiopharmaceutical kits, diagnostic radiopharmaceuticals and therapeutic radiopharmaceuticals. Also covered under this framework agreement for radiopharmaceutical products, are a range of generators including krypton, technetium and gallium.",31 March 2024,Radiopharmaceutical Products,sbs,01 April 2021,https://sbs.nhs.uk/fas-radiopharmaceutical-products
Health,SBS/17/AP/MFB/9338,"The Equipment for the High Level Disinfection of Ultrasound Probes Framework Agreement supports Trusts to ensure compliance with best practice guidance on the decontamination of ultrasound probes from Health Protection Scotland, Health Facilities Scotland, Welsh Technical Memorandum WHTM01-06 and Irish Health Executive. The framework agreement covers automated decontamination / ultrasound probe disinfection systems for use with semi-critical ultrasound probes and semi-invasive / non-invasive ultrasound probes. High level disinfection is required to kill the human papillomavirus (HPV virus).",31 December 2022,Equipment for the High Level Disinfection of Ultrasound Probes,sbs,01 January 2019,https://sbs.nhs.uk/fas-disinfection-ultrasound-probes
